"id","age","relative_hp_dist","rt","block_num"
15,"adult","absent",724.439859,6
15,"adult","lp_1",1065.514565,6
15,"adult","absent",701.359034,6
15,"adult","high_prob",1089.183569,6
15,"adult","absent",631.848097,6
15,"adult","lp_2",1131.386042,6
15,"adult","absent",845.174551,6
15,"adult","absent",774.380207,6
15,"adult","high_prob",928.986549,6
15,"adult","absent",944.493771,6
15,"adult","high_prob",1273.216009,6
15,"adult","absent",822.290897,6
15,"adult","absent",598.12355,6
15,"adult","high_prob",1311.197042,6
15,"adult","lp_3",1619.583845,6
15,"adult","lp_2",1174.483538,6
15,"adult","absent",1095.558405,6
15,"adult","lp_3",1384.047031,6
15,"adult","lp_1",938.342571,6
15,"adult","lp_2",872.766018,6
15,"adult","high_prob",857.074976,6
15,"adult","high_prob",1035.073757,6
15,"adult","absent",774.576664,6
15,"adult","high_prob",753.744125,6
15,"adult","high_prob",1075.469494,6
15,"adult","high_prob",1407.095194,6
15,"adult","high_prob",1243.41011,6
15,"adult","high_prob",774.574995,6
15,"adult","absent",832.032919,6
15,"adult","absent",831.255913,6
15,"adult","lp_1",1215.568304,6
15,"adult","high_prob",936.579943,6
15,"adult","high_prob",1781.811476,6
15,"adult","absent",765.896559,6
15,"adult","absent",922.043085,6
15,"adult","absent",942.952871,6
15,"adult","high_prob",789.683819,6
15,"adult","absent",619.924307,6
15,"adult","lp_2",745.92495,6
15,"adult","high_prob",663.617134,6
15,"adult","absent",1039.546728,6
15,"adult","high_prob",773.391962,6
15,"adult","absent",859.069824,6
15,"adult","absent",630.005598,6
15,"adult","absent",589.026928,6
15,"adult","absent",627.959013,6
16,"adult","absent",1130.525589,1
16,"adult","absent",976.347685,1
16,"adult","high_prob",1173.025846,1
16,"adult","lp_2",1136.855602,1
16,"adult","absent",1079.738855,1
16,"adult","absent",1471.471786,1
16,"adult","high_prob",1081.125259,1
16,"adult","high_prob",1020.077705,1
16,"adult","absent",1441.982985,1
16,"adult","lp_3",1261.588573,1
16,"adult","high_prob",1678.477764,1
16,"adult","high_prob",1263.401747,1
16,"adult","high_prob",884.336948,1
16,"adult","high_prob",1079.055309,1
16,"adult","high_prob",1320.337296,1
16,"adult","absent",1385.286093,1
16,"adult","absent",1460.346937,1
16,"adult","absent",1383.538246,1
16,"adult","absent",967.88764,1
16,"adult","absent",1642.869711,1
16,"adult","high_prob",1287.539482,1
16,"adult","high_prob",1467.849016,1
16,"adult","high_prob",1414.406776,1
16,"adult","high_prob",1571.233988,1
16,"adult","absent",1286.134958,1
16,"adult","absent",1145.520926,1
16,"adult","high_prob",1088.154078,1
16,"adult","absent",1173.171759,1
16,"adult","absent",1019.163847,1
16,"adult","lp_1",1220.502853,1
16,"adult","absent",1122.48826,1
16,"adult","lp_2",1151.910067,1
16,"adult","absent",969.565392,1
16,"adult","high_prob",1616.53018,1
16,"adult","high_prob",1463.454723,1
16,"adult","absent",1635.273933,1
16,"adult","high_prob",1420.164824,1
16,"adult","lp_2",1226.764679,1
16,"adult","absent",885.941505,1
16,"adult","high_prob",1778.315783,1
16,"adult","lp_1",1751.327753,1
16,"adult","high_prob",1054.107666,1
16,"adult","lp_1",1076.998711,1
16,"adult","absent",1176.646948,1
16,"adult","absent",1367.778063,1
16,"adult","absent",1252.321959,1
16,"adult","absent",1114.80546,1
16,"adult","high_prob",1251.100302,1
16,"adult","absent",1499.396801,1
16,"adult","lp_2",1387.728691,1
16,"adult","absent",1818.256855,1
16,"adult","absent",1349.951029,1
16,"adult","lp_1",1278.022766,1
16,"adult","absent",832.448721,1
16,"adult","absent",781.469107,1
16,"adult","absent",720.489979,1
16,"adult","absent",901.400328,1
16,"adult","lp_3",1289.485216,1
16,"adult","high_prob",1047.447443,1
16,"adult","high_prob",1655.860662,2
16,"adult","lp_2",1434.185028,2
16,"adult","absent",1219.082832,2
16,"adult","high_prob",1791.133881,2
16,"adult","high_prob",1256.219625,2
16,"adult","high_prob",1317.440987,2
16,"adult","high_prob",1028.478384,2
16,"adult","lp_3",1053.115606,2
16,"adult","absent",1010.987997,2
16,"adult","absent",1267.378092,2
16,"adult","high_prob",1419.086218,2
16,"adult","absent",1165.872097,2
16,"adult","high_prob",1963.176012,2
16,"adult","absent",839.688301,2
16,"adult","lp_1",909.211159,2
16,"adult","absent",931.751013,2
16,"adult","high_prob",1006.569862,2
16,"adult","lp_1",1623.62504,2
16,"adult","absent",1615.625858,2
16,"adult","absent",1217.30423,2
16,"adult","lp_3",1393.895149,2
16,"adult","absent",1332.187891,2
16,"adult","lp_1",1257.246256,2
16,"adult","high_prob",1510.773659,2
16,"adult","lp_2",1337.270975,2
16,"adult","high_prob",1557.630539,2
16,"adult","absent",838.53507,2
16,"adult","absent",1060.424805,2
16,"adult","lp_2",1842.905045,2
16,"adult","absent",1177.412987,2
16,"adult","high_prob",1368.153572,2
16,"adult","high_prob",934.180975,2
16,"adult","high_prob",776.511908,2
16,"adult","lp_1",1643.431425,2
16,"adult","absent",1156.533718,2
16,"adult","high_prob",1580.136776,2
16,"adult","absent",1041.81242,2
16,"adult","absent",898.973703,2
16,"adult","absent",913.934946,2
16,"adult","high_prob",1466.053724,2
16,"adult","absent",839.705944,2
16,"adult","high_prob",1217.92984,2
16,"adult","high_prob",1850.277901,2
16,"adult","absent",747.709751,2
16,"adult","high_prob",1391.564846,2
16,"adult","absent",680.378914,2
16,"adult","absent",1004.884958,2
16,"adult","absent",1547.807932,2
